experiment,dataset,quantity,polymer_type,model,train_size,split,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,n_folds,n_samples_mean
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polyBERT,1000,train,55.53111229310857,9.507822614470278,40.04209091796875,7.76852511272024,3174.103123378067,5,1000.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polyBERT,1000,val,241.7830539469122,22.094954341853544,176.3294591606988,9.578050515137983,58947.23218326403,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polymer_chemprop,300,test,132.2877679091746,22.775925235132167,,,,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polymer_chemprop,1000,test,83.32207044395327,5.256043304955359,,,,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polymer_periodic_graph,300,test,126.79961670392754,4.490852026993521,,,,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polymer_periodic_graph,1000,test,85.37864274543169,6.578477251915504,,,,5,180.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,RDKit_RF,300,test,0.05166409024118368,0.009533861669147187,0.03561474174932344,0.004388684038790894,0.0027600727387756046,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,RDKit_RF,300,train,0.02015826983690005,0.000841727534111854,0.0139879172084249,0.00016024682655874155,0.00040706434805895644,5,300.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,RDKit_RF,300,val,0.05271022486868623,0.0027401743823108815,0.03682650990025045,0.0024037584333280763,0.002785876361352941,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,RDKit_RF,1000,test,0.037575032289124774,0.005613634529569568,0.024422912904925355,0.00272112797647619,0.0014433959441603455,5,179.0
